年度,縣市別,序號,醫療院所名稱,醫療院所十碼代碼,郵遞區號,地    址
2015,臺北市,3517,萬慶診所,3501202878,116,臺北市文山區萬慶街8號
2015,臺北市,3518,啟仁診所,3501090305,103,臺北市大同區重慶北路3段80號
2015,臺北市,3519,新明診所,3501113723,114,臺北市內湖區新明路３８６號
2015,臺北市,3520,大湖診所,3501113714,114,臺北市內湖區成功路四段368號
2015,臺北市,3521,台灣中油股份有限公司員工診療所 ,3401171161,110,臺北市信義區松仁路3號3樓
2015,臺北市,3522,惟廉診所,3501107645,104,臺北市中山區北安路595巷1號B1
2015,臺北市,3523,雙連婦產科小兒科診所,3501107565,104,臺北市中山區民生西路３０號４樓
2015,臺北市,3524,郵政總局郵政醫院（委託中英醫療社團法人經營）,901180023,100,臺北市中正區福州街14號
2015,臺北市,3525,長庚醫療財團法人台北長庚紀念醫院,1101010012,105,臺北市松山區中華里004鄰敦化北路199號
2015,臺北市,3526,禾馨新生婦幼診所,350102B364,106,臺北市大安區新生南路３段２號
2015,臺北市,3527,長安內外科,3501106988,104,臺北市中山區八德路２段２５９號 
2015,臺北市,3528,夏爾診所,350102A107,106,臺北市大安區信義路四段265巷54號
2015,臺北市,3529,晴光診所,3501107369,104,臺北市中山區林森北路556號
2015,臺北市,3530,杏安診所,3501121921,115,臺北市南港區同德路76號
2015,臺北市,3531,弘光耳鼻喉科診所,3501014225,105,臺北市松山區精忠里006鄰民生東路四段117號
2015,臺北市,3532,康樂診所,3501113410,114,臺北市內湖區康樂街82號
2015,臺北市,3533,臺北市立聯合醫院中興院區,101090517,103,臺北市大同區鄭州路145號
2015,臺北市,3534,松德診所,3501029931,110,臺北市大安區四維路170巷16號
2015,臺北市,3535,何小兒科診所,3501151938,111,臺北市士林區福港街１７６號
2015,臺北市,3536,李世澤小兒科診所,3501150208,111,臺北市士林區社子街６７號 
2015,臺北市,3537,杏暉診所,3501153496,111,臺北市士林區社子街１５號 
2015,臺北市,3538,林博通醫師診所,3501151018,111,臺北市士林區通河街６０號１樓
2015,臺北市,3539,家庭醫師張正弘診所,3501151661,111,臺北市士林區天玉街３８巷９號 
2015,臺北市,3540,陳彥銘耳鼻喉科診所,3501152006,111,臺北市士林區士東路１２號－１，１樓
2015,臺北市,3541,龍安莊耳鼻喉科診所,3501153843,111,臺北市士林區延平北路５段１８６號
2015,臺北市,3542,黃蓉聯合診所,3501151474,111,臺北市士林區社子街２６號 
2015,臺北市,3543,黃耀明診所,3501150306,111,臺北市士林區中正路３２２號１樓 
2015,臺北市,3544,臺北市立聯合醫院附設士林門診部,2101150012,111,臺北市士林區中正路４３９號１樓
2015,臺北市,3545,德泰耳鼻喉科診所,3501151054,111,臺北市士林區通河街４２－１號
2015,臺北市,3546,鄭醫師診所,3501150575,111,臺北市士林區延平北路５段１２０號１、２樓
2015,臺北市,3547,臺北市立聯合醫院附設政大門診,2101200017,116,臺北市文山區指南路２段１１７號
2015,臺北市,3548,萬芳醫院,1301200010,116,臺北市文山區興隆路３段１１１號
2015,臺北市,3549,葉洪小兒科診所,3501200963,116,臺北市文山區興隆路３段２０２號１樓
2015,臺北市,3550,黃偉志小兒科診所,3501202636,116,臺北市文山區萬慶街１２號１樓
2015,臺北市,3551,景美醫院,1501201020,116,臺北市文山區羅斯福路６段２８０號
2015,臺北市,3552,興隆內科兒科診所,3501200534,116,臺北市文山區興隆路２段１７號
2015,臺北市,3553,定安診所,3501202798,116,臺北市文山區景文街２９號
2015,臺北市,3554,屈銘軒小兒科診所,3501202458,116,臺北市文山區興隆路２段３０１巷４－２號
2015,臺北市,3555,鍾內兒科診所,3501200285,116,臺北市文山區木柵路３段１１９號
2015,臺北市,3556,秀傳醫院,1501021193,106,臺北市大安區光復南路116巷1、3、5號
2015,臺北市,3557,行政院國軍退除役官兵輔導委員會臺北榮民總醫院,601160016,112,臺北市北投區石牌路2段201號
2015,臺北市,3558,振興醫療財團法人振興醫院,1101160017,112,臺北市北投區振興路45號
2015,臺北市,3559,臺北市立關渡醫院-委託行政院國軍退除役官兵輔導委員會臺北榮民總醫院經營,701160518,112,臺北市北投區知行路225巷12號
2015,臺北市,3560,臺北市立聯合醫院附設北投門診部,2101161033,112,臺北市北投區新市街30號5樓
2015,臺北市,3561,陳獻明小兒科診所,3501161032,112,臺北市北投區中央南路1段69號
2015,臺北市,3562,美康診所,3501162566,112,臺北市北投區光明路2巷9-2號
2015,臺北市,3563,昱德聯合診所,3501161363,112,臺北市北投區光明路102號
2015,臺北市,3564,蔡秉勳小兒科診所,3501160973,112,臺北市北投區中和街281號
2015,臺北市,3565,清田婦產科家醫科診所,3501160982,112,臺北市北投區中和街268號
2015,臺北市,3566,李伯匯小兒科診所,3501161185,112,臺北市北投區石牌路1段93號
2015,臺北市,3567,何叔芳小兒科診所,3501162940,112,臺北市北投區裕民四路4號1樓
2015,臺北市,3568,黃正宏診所,3501163036,112,臺北市北投區西安街1段359號
2015,臺北市,3569,洪耳鼻喉科診所,3501160231,112,臺北市北投區中央南路1段43號
2015,臺北市,3570,吉安診所,3501160204,112,臺北市北投區西安街1段281巷18號
2015,臺北市,3571,祐民聯合診所,3501161238,112,臺北市北投區中央南路1段207號
2015,臺北市,3572,國軍北投醫院附設民眾診療服務處,501160014,112,臺北市北投區中和街250號
2015,臺北市,3573,文遠診所,3501161318,112,臺北市北投區石牌路2段346號
2015,臺北市,3574,永安家庭醫學科診所,3501160286,112,臺北市北投區公館路47號
2015,臺北市,3575,張晉豪診所,3501162682,112,臺北市北投區中央南路1段155號
2015,臺北市,3576,陳珀勳診所,3501162879,112,臺北市北投區明德路85號
2015,臺北市,3577,長宏診所,3501160866,112,臺北市北投區中央北路2段121號
2015,臺北市,3578,宏恩兒科診所,3501163072,112,臺北市北投區致遠一路2段99號
2015,臺北市,3579,陳信方小兒科診所,3501163241,112,臺北市北投區明德路１０６號 
2015,臺北市,3580,陳柏宏親子診所,3501163232,112,臺北市北投區明德路１２４號 
2015,臺北市,3581,黃浩魁小兒科診所,3501163170,112,臺北市北投區中央北路１段１６８號
2015,臺北市,3582,張參雄診所,3501160991,112,臺北市北投區光明路１６６號、１６６－１號１．２．３樓
2015,臺北市,3583,陳志鑫診所,3501120335,115,臺北市南港區八德路4段812號
2015,臺北市,3584,臺北市立聯合醫院附設南軟門診部,2101121020,115,臺北市南港區園區街3-2號2樓
2015,臺北市,3585,臺北市立聯合醫院附設南港門診部,2101120014,115,臺北市南港區南港路1段360號1樓
2015,臺北市,3586,義仁兒科診所,3501121725,115,臺北市南港區玉成街138號1樓
2015,臺北市,3587,義仁家庭醫學診所,3501121734,115,臺北市南港區玉成街138號1樓
2015,臺北市,3588,陳勝吉診所,3501121592,115,臺北市南港區研究院路1段115號
2015,臺北市,3589,天仁健康診所,3501121823,115,臺北市南港區成福路21號
2015,臺北市,3590,天仁小兒科診所,3501121627,115,臺北市南港區成福路21號
2015,臺北市,3591,蔣小兒科診所,3501120228,115,臺北市南港區玉成街166巷30號1樓
2015,臺北市,3592,永育診所,3501121743,115,臺北市南港區福德街313號1樓
2015,臺北市,3593,維康診所,3501121832,115,臺北市南港區研究院路2段84巷1號1樓
2015,臺北市,3594,李文珍小兒科診所,3501121814,115,臺北市南港區研究院路2段74號1樓
2015,臺北市,3595,臺北市立聯合醫院忠孝院區,101090517,115,臺北市南港區同德路87號
2015,臺北市,3596,興隆李內兒科診所,3501200338,116,臺北市文山區興隆路一段12號
2015,臺北市,3597,林建輝小兒科診所,3501200794,116,臺北市文山區興隆路二段70號
2015,臺北市,3598,泓仁診所,3501200570,116,臺北市文山區木新路二段273號
2015,臺北市,3599,洪佑承小兒專科診所,3501201004,116,臺北市文山區興隆路四段64之2號1樓
2015,臺北市,3600,德安小兒科診所,3501201095,116,臺北市文山區興隆路四段6-10號1樓
